addressid,customer_city,customer_country,customer_state,customer_zipcode,customer_streetname,customer_streetnumber
1755,El Paso,USA,TX,79924,Clear Rise Common,2122
1756,Caguas,Puerto Rico,PR,725,Cotton Autoroute,9699
1757,Bayonne,USA,NJ,7002,Misty Hollow,3707
1758,Detroit,USA,MI,48221,Harvest Circuit,5855
1759,Annandale,USA,VA,22003,Noble Timber Subdivision,8445
1760,Caguas,Puerto Rico,PR,725,Jagged Embers By-pass,5594
1761,Caguas,Puerto Rico,PR,725,Misty Mountain Freeway,2845
1762,Del Rio,USA,TX,78840,Sunny View,1666
1763,Spring,USA,TX,77379,Golden Manor ,4515
1764,Brandon,USA,FL,33511,High Beacon Valley,9650
1765,Caguas,Puerto Rico,PR,725,Grand Horse Port,6355
1766,Elgin,USA,IL,60120,Merry Nectar Parkway,7000
1767,Union City,USA,NJ,7087,Silver Square,7487
1768,Bend,USA,OR,97701,Indian Prairie Extension,1338
1769,Caguas,Puerto Rico,PR,725,Stony Avenue,8341
1770,Chicago,USA,IL,60622,Clear Glade,8248
1771,Caguas,Puerto Rico,PR,725,Indian Hickory Road,1078
1772,Florissant,USA,MO,63031,Indian Passage,2805
1773,Caguas,Puerto Rico,PR,725,Harvest Heath,8566
1774,Richmond,USA,KY,40475,Indian Brook Valley,2423
1775,Los Angeles,USA,CA,90006,Cotton Cloud Drive,6322
1776,Wilkes Barre,USA,PA,18702,Pleasant Prairie Link,10
1777,Florissant,USA,MO,63031,Indian Passage ,2805
1778,Mission Viejo,USA,CA,92692,Bright Pike ,7596
1779,Tustin,USA,CA,92780,Cozy Street,720
1780,Caguas,Puerto Rico,PR,725,Honey Village,1233
1781,Caguas,Puerto Rico,PR,725,Noble Pines,2360
1782,El Paso,USA,TX,79924,Quaking Plaza,1213
1783,Caguas,Puerto Rico,PR,725,Amber Cloud Farms,6942
1784,Newark,USA,NJ,7104,Foggy Anchor Extension,9853
1785,Porterville,USA,CA,93257,Thunder Centre,5835
1786,Fresno,USA,CA,93720,Clear Bluff Carrefour,6150
1787,Chicago,USA,IL,60614,Indian Quail Manor,9794
1788,Caguas,Puerto Rico,PR,725,Dewy Expressway,8734
1789,Caguas,Puerto Rico,PR,725,Cotton Forest,9725
1790,Caguas,Puerto Rico,PR,725,Burning Maze,2161
1791,San Diego,USA,CA,92154,Iron Port,8852
1792,Washington,USA,DC,20002,Cinder Sky Estates,9861
1793,San Diego,USA,CA,92117,Burning Prairie Square,4152
1794,Caguas,Puerto Rico,PR,725,Little Wharf,6214
1795,Mission Viejo,USA,CA,92692,High Spring Cove,1557
1796,Lewisville,USA,TX,75067,Noble View Valley,8824
1797,Bellflower,USA,CA,90706,Old Drive,8547
1798,Greensboro,USA,NC,27410,Blue Path,3737
1799,Caguas,Puerto Rico,PR,725,Burning Cider Heath,8610
1800,Caguas,Puerto Rico,PR,725,Stony Promenade,3760
1801,Caguas,Puerto Rico,PR,725,Lazy Arbor,6379
1802,Las Vegas,USA,NV,89101,Dusty Trail,4878
1803,Caguas,Puerto Rico,PR,725,Thunder Dale ,4575
1804,Caguas,Puerto Rico,PR,725,Silver End,8626
1805,Chicago,USA,IL,60632,Green Orchard,8342
1806,Caguas,Puerto Rico,PR,725,Harvest Bay,4494
1807,Winnetka,USA,CA,91306,Pleasant Cider Loop,2835
1808,Caguas,Puerto Rico,PR,725,Golden Glade,6175
1809,Caguas,Puerto Rico,PR,725,Dusty Island,8824
1810,La Crosse,USA,WI,54601,Indian Autumn Arbor,2422
1811,Caguas,Puerto Rico,PR,725,Thunder Ramp,1795
1812,Bayamon,Puerto Rico,PR,957,Shady Island ,7373
1813,Caguas,Puerto Rico,PR,725,Lazy Promenade,4271
1814,Caguas,Puerto Rico,PR,725,Heather Rise,5712
1815,La Mirada,USA,CA,90638,Little Treasure Drive,6818
1816,El Paso,USA,TX,79924,Broad Embers Parade,2406
1817,Sugar Land,USA,TX,77478,Middle Court ,2647
1818,Memphis,USA,TN,38128,Cotton Blossom Estates,7111
1819,Caguas,Puerto Rico,PR,725,Blue Round,6727
1820,Caguas,Puerto Rico,PR,725,Emerald Hills Ramp,1306
1821,El Monte,USA,CA,91732,Fallen Lane,1840
1822,Asheboro,USA,NC,27203,Bright Farms,2456
1823,Caguas,Puerto Rico,PR,725,Honey Round,5041
1824,Staten Island,USA,NY,10312,Broad Square,2205
1825,Arlington,USA,VA,22204,Emerald Elk Diversion,5926
1826,Caguas,Puerto Rico,PR,725,Cotton Bluff Carrefour,1208
1827,Lakewood,USA,NJ,8701,Sunny Link,1286
1828,Littleton,USA,CO,80126,Noble Embers Ridge,9526
1829,Bellflower,USA,CA,90706,Cozy Autumn Trace,7441
1830,Caguas,Puerto Rico,PR,725,Hazy Timber Expressway,7380
1831,Clearfield,USA,UT,84015,Cozy Swale,9381
1832,Reynoldsburg,USA,OH,43068,Dusty Rise Square,295
1833,Littleton,USA,CO,80126,Blue Place,7002
1834,Dorchester Center,USA,MA,2124,Burning Street,866
1835,Denton,USA,TX,76201,Stony Field,164
1836,Caguas,Puerto Rico,PR,725,Round Wood,9375
1837,Alpharetta,USA,GA,30022,Noble Apple Woods,6312
1838,Chandler,USA,AZ,85225,Easy Zephyr Farm,9216
1839,Crown Point,USA,IN,46307,Quaking Walk,1612
1840,Orlando,USA,FL,32825,Hidden Goose By-pass,8399
1841,Miami,USA,FL,33155,Silent Timber Mews,7190
1842,Las Vegas,USA,NV,89103,Quaking Subdivision ,6538
1843,Dallas,USA,TX,75231,Rustic Rabbit Street,1082
1844,Amarillo,USA,TX,79109,Heather Quail Concession,437
1845,Caguas,Puerto Rico,PR,725,Little Forest,9533
1846,Compton,USA,CA,90220,Burning Pike,6588
1847,Caguas,Puerto Rico,PR,725,Cozy Falls,4047
1848,Garden Grove,USA,CA,92843,Red Byway,5593
1849,Chicago,USA,IL,60643,Gentle Wynd,119
1850,Caguas,Puerto Rico,PR,725,Wishing Path,3983
1851,North Hollywood,USA,CA,91605,Rustic Round,4906
1852,Caguas,Puerto Rico,PR,725,Quaking Cider Highway,5735
1853,Troy,USA,NY,12180,Dusty Bay,236
1854,Caguas,Puerto Rico,PR,725,Emerald Shadow Boulevard,5892
1855,Caguas,Puerto Rico,PR,725,Blue Run,6715
1856,Caguas,Puerto Rico,PR,725,Cinder Way ,7333
1857,Santa Ana,USA,CA,92704,Indian Abbey,4617
1858,Hayward,USA,CA,94544,Jagged Corner,6936
1859,Caguas,Puerto Rico,PR,725,Emerald Cider Jetty,8142
1860,Brooklyn,USA,NY,11226,Umber Log Island,9009
1861,Irwin,USA,PA,15642,Iron Edge,629
1862,Escondido,USA,CA,92026,Noble Dale Pines,431
1863,Caguas,Puerto Rico,PR,725,Lost Spring Ledge,3051
1864,Los Angeles,USA,CA,90047,Clear Forest Highway,100
1865,North Richland Hills,USA,TX,76180,Silent Farms,5630
1866,Caguas,Puerto Rico,PR,725,Cotton Wagon Moor,6772
1867,Caguas,Puerto Rico,PR,725,Stony Key,5761
1868,Ventura,USA,CA,93003,Easy Pines,3367
1869,Escondido,USA,CA,92027,Wishing Expressway,9126
1870,Cleveland,USA,OH,44118,Little Mews,4423
1871,Garland,USA,TX,75040,Sleepy Lake Parade,3312
1872,Weslaco,USA,TX,78596,Lost Campus,1108
1873,Madera,USA,CA,93638,Harvest Street,9117
1874,Caguas,Puerto Rico,PR,725,Sleepy Bend,9627
1875,Baytown,USA,TX,77520,Heather Bluff Place,8905
1876,Brooklyn,USA,NY,11213,Old Pony Canyon,9512
1877,Lancaster,USA,CA,93536,Velvet Turnabout,7694
1878,New Albany,USA,IN,47150,Iron Blossom Bend,4805
1879,Sanford,USA,NC,27330,Burning Pony Front,3570
1880,Fort Lauderdale,USA,FL,33311,Velvet Pony Trace,9891
1881,Wilkes Barre,USA,PA,18702,Rustic Beach,9117
1882,Goleta,USA,CA,93117,Cozy Quay ,7213
1883,Atlanta,USA,GA,30331,Bright Blossom Mall ,2407
1884,Caguas,Puerto Rico,PR,725,Honey Creek Subdivision,4525
1885,Caguas,Puerto Rico,PR,725,Honey Pond Inlet,555
1886,Pekin,USA,IL,61554,Velvet Bluff Avenue,6734
1887,Miami,USA,FL,33165,Rustic Terrace,9198
1888,Bay Shore,USA,NY,11706,Iron Spring Route,5864
1889,Plymouth,USA,MA,2360,Crystal Canyon,4388
1890,Fort Lauderdale,USA,FL,33324,Colonial Farms,2434
1891,Fresno,USA,CA,93720,Thunder View Quay,1764
1892,Ventura,USA,CA,93003,Merry Circle,2863
1893,Brooklyn,USA,NY,11221,Cotton Creek Trail,5599
1894,El Centro,USA,CA,92243,Umber Zephyr Run,9174
1895,San Jose,USA,CA,95127,Thunder Valley,5261
1896,Jersey City,USA,NJ,7307,Emerald Beach,2161
1897,Revere,USA,MA,2151,Rustic Park ,9918
1898,Caguas,Puerto Rico,PR,725,Wishing Zephyr Turnabout,2556
1899,Tulare,USA,CA,93274,Blue Quail Thicket,6122
1900,Elmhurst,USA,IL,60126,Golden Beacon Freeway,5918
1901,Caguas,Puerto Rico,PR,725,Stony Woods ,3169
1902,West Covina,USA,CA,91790,Thunder Pony Nook,2287
1903,Winter Park,USA,FL,32792,Stony Close,4948
1904,Brooklyn,USA,NY,11218,Rustic Forest Pines,5407
1905,Wheaton,USA,IL,60187,Merry Autoroute,7773
1906,Tulare,USA,CA,93274,Iron Goose Bend,1223
1907,Caguas,Puerto Rico,PR,725,Foggy Timber Walk,68
1908,Dallas,USA,TX,75217,Red Hollow,2122
1909,Westland,USA,MI,48185,Colonial Cove,3064
1910,Nashville,USA,TN,37211,Pleasant Rise Valley,8352
1911,Beloit,USA,WI,53511,Bright Pony Expressway,5050
1912,Middletown,USA,CT,6457,Silent Forest,7262
1913,Houston,USA,TX,77015,Wishing Creek Campus,4232
1914,Pekin,USA,IL,61554,Honey Round,5041
1915,Miami,USA,FL,33157,Quaking View,2275
1916,Brooklyn,USA,NY,11229,High Carrefour,1449
1917,Washington,USA,DC,20002,Stony Row,5547
1918,Dallas,USA,TX,75211,Foggy Byway,3654
1919,Pacoima,USA,CA,91331,Broad Rise Expressway,1510
1920,Caguas,Puerto Rico,PR,725,Honey Rise Loop,2544
1921,San Jose,USA,CA,95123,Burning Fawn Crest,4498
1922,Caguas,Puerto Rico,PR,725,Colonial Prairie Turnabout,805
1923,Caguas,Puerto Rico,PR,725,Gentle Pond Bay,8373
1924,Austin,USA,TX,78745,Crystal Hickory Path,8473
1925,Moline,USA,IL,61265,Middle Autumn Loop,8460
1926,Los Angeles,USA,CA,90033,Round Zephyr Ridge,8916
1927,San Diego,USA,CA,92102,Colonial Estates,7713
1928,Quincy,USA,MA,2169,Silver Bend,3614
1929,Caguas,Puerto Rico,PR,725,Clear Oak Lookout,6229
1930,Caguas,Puerto Rico,PR,725,Little Timber Wood,1795
1931,Caguas,Puerto Rico,PR,725,Pleasant Branch Road,2972
1932,San Francisco,USA,CA,94122,High Passage,7027
1933,Caguas,Puerto Rico,PR,725,Heather Thicket,797
1934,Houston,USA,TX,77093,Cotton Estates ,3173
1935,Jersey City,USA,NJ,7306,Cotton Zephyr Highway,1329
1936,Bensalem,USA,PA,19020,Lazy Court,107
1937,Caguas,Puerto Rico,PR,725,Lost Crossing,4426
1938,Caguas,Puerto Rico,PR,725,Dewy Deer Harbour,9079
1939,Porterville,USA,CA,93257,Blue End,4079
1940,Phoenix,USA,AZ,85033,Clear Oak Lookout,6229
1941,Escondido,USA,CA,92026,Blue Ridge,889
1942,Carol Stream,USA,IL,60188,Umber Field,1853
1943,Fairfield,USA,CA,94533,Round Parkway,4148
1944,Jackson,USA,MI,49201,Little Jetty,3796
1945,Tampa,USA,FL,33624,Cozy Round,347
1946,Las Vegas,USA,NV,89117,Silver View ,9
1947,Caguas,Puerto Rico,PR,725,Noble Lane,425
1948,Miami,USA,FL,33157,Indian Quail Extension,9095
1949,Caguas,Puerto Rico,PR,725,Harvest Blossom Gardens,8400
1950,Caguas,Puerto Rico,PR,725,High Apple Highlands,1284
1951,Memphis,USA,TN,38128,Sunny Falls,7017
1952,Redmond,USA,WA,98052,Indian Orchard,7727
1953,Caguas,Puerto Rico,PR,725,Wishing Corners,7971
1954,Cleveland,USA,OH,44109,Lost Branch Glen,5050
1955,Caguas,Puerto Rico,PR,725,Pleasant Pioneer Avenue,4393
1956,Austin,USA,TX,78704,Amber Elk Abbey,355
1957,Mesa,USA,AZ,85204,Tawny Log Road,6943
1958,Metairie,USA,LA,70003,Cinder Heights,9674
1959,Piscataway,USA,NJ,8854,Sunny Grounds,75
1960,Austin,USA,TX,78704,Emerald Oak Maze,9136
1961,Caguas,Puerto Rico,PR,725,Grand Trail,9400
1962,Columbia,USA,TN,38401,Foggy Sky Manor,3914
1963,Caguas,Puerto Rico,PR,725,Lazy Gardens,1297
1964,Fremont,USA,CA,94538,Umber Lookout,4906
1965,Laredo,USA,TX,78046,Lost Bank,7192
1966,Brooklyn,USA,NY,11220,Little Timber By-pass,5759
1967,Chula Vista,USA,CA,91910,Shady Bank ,4355
1968,Bayonne,USA,NJ,7002,Rocky View Harbour,4103
1969,Caguas,Puerto Rico,PR,725,Merry Creek Mountain,318
1970,Colorado Springs,USA,CO,80918,Thunder Pines ,1792
1971,Newburgh,USA,NY,12550,Fallen Panda Walk,8217
1972,Bayonne,USA,NJ,7002,Tawny Limits,1793
1973,Elgin,USA,IL,60120,Tawny Anchor Plaza,5652
1974,Ventura,USA,CA,93003,Cinder Dale,7798
1975,Caguas,Puerto Rico,PR,725,Clear Moor,3440
1976,Caguas,Puerto Rico,PR,725,Dewy Gate ,9456
1977,Caguas,Puerto Rico,PR,725,Gentle Willow Loop,4806
1978,Escondido,USA,CA,92026,Rocky Loop,9524
1979,Roswell,USA,GA,30075,Fallen Corners,1795
1980,Vacaville,USA,CA,95687,Rocky Autoroute,5463
1981,Caguas,Puerto Rico,PR,725,Hazy River End,5578
1982,Caguas,Puerto Rico,PR,725,Foggy Pathway,5206
1983,Caguas,Puerto Rico,PR,725,Bright Fox Mews,5622
1984,Caguas,Puerto Rico,PR,725,Heather Mews,2248
1985,Union City,USA,NJ,7087,Indian Trail,5593
1986,Pittsfield,USA,MA,1201,Lost Via,5621
1987,Panorama City,USA,CA,91402,Lazy Pathway,8675
1988,San Benito,USA,TX,78586,Sleepy Diversion,2499
1989,Brighton,USA,MA,2135,Pleasant Beach,3993
1990,Caguas,Puerto Rico,PR,725,Colonial Glen,456
1991,Indianapolis,USA,IN,46227,Red Apple Parade,4922
1992,Philadelphia,USA,PA,19148,Iron Mountain,2036
1993,Houston,USA,TX,77081,Blue Farm,7119
1994,Alhambra,USA,CA,91801,Quaking Quay,7596
1995,Fayetteville,USA,NC,28314,Broad Brook View,2544
1996,Paramount,USA,CA,90723,Lazy Corners,7787
1997,Santa Clara,USA,CA,95051,Old Shadow Dell,6772
1998,Los Angeles,USA,CA,90024,Grand Carrefour,3236
1999,Los Angeles,USA,CA,90046,Umber Robin Manor,3538
2000,Caguas,Puerto Rico,PR,725,Silent Vista,7446
2001,Caguas,Puerto Rico,PR,725,Fallen Hollow,7621
2002,Wheaton,USA,IL,60187,Umber Valley,3902
2003,Caguas,Puerto Rico,PR,725,Indian Walk,6715
2004,Bronx,USA,NY,10463,Rocky Village ,3760
2005,Caguas,Puerto Rico,PR,725,Lost Quail Rise,4957
2006,Clementon,USA,NJ,8021,Old Forest Parkway,1721
2007,Caguas,Puerto Rico,PR,725,Lazy Pines,760
2008,Caguas,Puerto Rico,PR,725,Iron Abbey ,9825
2009,Bismarck,USA,ND,58501,Honey Nectar Heights,909
2010,Caguas,Puerto Rico,PR,725,Sleepy Manor,6076
2011,Caguas,Puerto Rico,PR,725,Dewy Round,4210
2012,Caguas,Puerto Rico,PR,725,Iron Glade,8171
2013,Sandusky,USA,OH,44870,Clear Barn Cove,1828
2014,Caguas,Puerto Rico,PR,725,Easy Pony Mews,7191
2015,Watsonville,USA,CA,95076,Burning Goose Ridge,4388
2016,Caguas,Puerto Rico,PR,725,Grand Spring Chase,7802
2017,Santa Maria,USA,CA,93458,Red Oak Valley,29
2018,Modesto,USA,CA,95350,Golden Line,6324
2019,Tucson,USA,AZ,85713,Easy Leaf Knoll,8766
2020,Chicago,USA,IL,60617,Sleepy Mews,8641
2021,Caguas,Puerto Rico,PR,725,Jagged Hills Nook,1088
2022,Smyrna,USA,GA,30080,Gentle Island Vista,2262
2023,Douglasville,USA,GA,30135,Quiet Impasse,6009
2024,Caguas,Puerto Rico,PR,725,Old Pony Field,6982
2025,New York,USA,NY,10025,Honey Grove Expressway,6234
2026,Caguas,Puerto Rico,PR,725,Shady Barn Jetty,9176
2027,Caguas,Puerto Rico,PR,725,Wishing Ledge,9847
2028,Newark,USA,NJ,7105,Burning Horse Centre,9581
2029,Caguas,Puerto Rico,PR,725,Quaking Quay,7596
2030,Fort Worth,USA,TX,76106,Old Pathway,2966
2031,Caguas,Puerto Rico,PR,725,Tawny Elk Park,2616
2032,Hollywood,USA,FL,33025,Stony Lagoon Corners,2484
2033,Hialeah,USA,FL,33015,Crystal Mountain,2122
2034,Caguas,Puerto Rico,PR,725,Amber Forest Highway,9409
2035,Brooklyn,USA,NY,11203,High Vista,3980
2036,Florissant,USA,MO,63033,Amber Inlet ,8109
2037,Milwaukee,USA,WI,53209,Harvest Highlands,7509
2038,Caguas,Puerto Rico,PR,725,Clear Autumn Canyon,4542
2039,Irwin,USA,PA,15642,Middle Quail Heath,8771
2040,Provo,USA,UT,84604,Bright Extension,3741
2041,San Francisco,USA,CA,94110,Gentle By-pass,8324
2042,Caguas,Puerto Rico,PR,725,Rustic Round,911
2043,Oxnard,USA,CA,93030,Thunder Robin Pines,3453
2044,Louisville,USA,KY,40214,Fallen Townline,4678
2045,Las Vegas,USA,NV,89110,High Freeway,9265
2046,Moreno Valley,USA,CA,92557,Red Point,9203
2047,San Diego,USA,CA,92111,Heather Shadow Concession,59
2048,Sheboygan,USA,WI,53081,Sleepy Quail Port,6704
2049,Azusa,USA,CA,91702,Round Drive,8435
2050,Caguas,Puerto Rico,PR,725,Cotton Wynd,4411
2051,Las Vegas,USA,NV,89103,Clear Knoll,5628
2052,San Jose,USA,CA,95124,Cotton Farm,1850
2053,Lawrenceville,USA,GA,30043,Emerald Mall,2647
2054,Caguas,Puerto Rico,PR,725,Clear Pony Byway,143
2055,Middletown,USA,OH,45044,Colonial Leaf Orchard,6496
2056,Gaithersburg,USA,MD,20878,Indian Range,1494
2057,Caguas,Puerto Rico,PR,725,Cinder Loop,5723
2058,Long Beach,USA,CA,90804,Little Avenue,9026
2059,Caguas,Puerto Rico,PR,725,Middle Fawn Line,3493
2060,El Cajon,USA,CA,92020,Cotton Forest,9725
2061,Phoenix,USA,AZ,85035,Rocky Shadow Ledge,1606
2062,Miami,USA,FL,33176,Silver Pond Mountain,4384
2063,Caguas,Puerto Rico,PR,725,Noble Lagoon Farms,2071
2064,Irvington,USA,NJ,7111,Wishing Crest,1109
2065,San Jose,USA,CA,95125,Quiet Abbey ,7871
2066,Caguas,Puerto Rico,PR,725,Golden Crescent,1366
2067,Lewisville,USA,TX,75067,Heather Inlet,3345
2068,Ewa Beach,USA,HI,96706,Lazy Pine Chase,9550
2069,Brooklyn,USA,NY,11204,Little Robin Way,1491
2070,Philadelphia,USA,PA,19134,Bright Crossing,9188
2071,Caguas,Puerto Rico,PR,725,Cinder Dale ,7798
2072,Caguas,Puerto Rico,PR,725,Silent River Parade,4970
2073,Bakersfield,USA,CA,93304,Hidden Round,3944
2074,Canton,USA,MI,48187,Harvest Dale Ledge,547
2075,Caguas,Puerto Rico,PR,725,Velvet Deer Circuit,9183
2076,Broken Arrow,USA,OK,74012,Thunder Autoroute,3683
2077,Riverside,USA,CA,92503,Noble Prairie Heights,3763
2078,Caguas,Puerto Rico,PR,725,Green River Acres,8510
2079,Caguas,Puerto Rico,PR,725,High Row,4226
2080,Caguas,Puerto Rico,PR,725,Tawny Extension,3393
2081,Memphis,USA,TN,38127,Sleepy Anchor Concession,6114
2082,Caguas,Puerto Rico,PR,725,Broad Forest,8621
2083,Loveland,USA,OH,45140,Grand Passage,2816
2084,Caguas,Puerto Rico,PR,725,Pleasant Cloud Centre,1073
2085,Lancaster,USA,SC,29720,Silver Close,6933
2086,Escondido,USA,CA,92025,Umber Lookout,4906
2087,Elmhurst,USA,NY,11373,Old Crescent,7253
2088,Caguas,Puerto Rico,PR,725,Old Autoroute,9335
2089,Caguas,Puerto Rico,PR,725,Merry Canyon,7808
2090,Caguas,Puerto Rico,PR,725,Foggy Pond Crescent,2543
2091,Goose Creek,USA,SC,29445,Dusty Gate Walk,4255
2092,Fort Lauderdale,USA,FL,33312,Blue Limits,3846
2093,Caguas,Puerto Rico,PR,725,Velvet Beach,7983
2094,Quincy,USA,MA,2169,Clear Close,2052
2095,Longmont,USA,CO,80501,Sunny Lane,3741
2096,Oxnard,USA,CA,93030,Cozy Nook,9375
2097,Wayne,USA,NJ,7470,Honey Grove,5514
2098,Caguas,Puerto Rico,PR,725,Umber Cider Quay,5407
2099,Pittsburg,USA,CA,94565,Crystal Island Acres,9404
2100,Spring Valley,USA,CA,91977,Rocky Fox Key,4384
2101,Caguas,Puerto Rico,PR,725,Bright Creek Vista,3838
2102,Carolina,Puerto Rico,PR,983,Quiet Zephyr Nook,7127
2103,Phoenix,USA,AZ,85009,Hidden Apple Terrace,6940
2104,Virginia Beach,USA,VA,23455,Broad Wagon  Villas,9095
2105,Memphis,USA,TN,38109,Lazy Lake Pines,1865
2106,Caguas,Puerto Rico,PR,725,Heather Panda Street,5809
2107,Caguas,Puerto Rico,PR,725,Misty Lookout,2056
2108,Caguas,Puerto Rico,PR,725,Misty Maze,7950
2109,Caguas,Puerto Rico,PR,725,Stony Nectar Pointe,6587
2110,Caguas,Puerto Rico,PR,725,Dewy Impasse,2805
2111,Caguas,Puerto Rico,PR,725,Burning Route,425
2112,Chino,USA,CA,91710,Merry Loop,153
2113,East Lansing,USA,MI,48823,Iron Goose Mount,1828
2114,Los Angeles,USA,CA,90043,High Run,3032
2115,Grand Prairie,USA,TX,75052,Quaking Lookout,2220
2116,Caguas,Puerto Rico,PR,725,Jagged Hollow ,5517
2117,Caguas,Puerto Rico,PR,725,Silent Bear Road,4435
2118,Caguas,Puerto Rico,PR,725,Easy Ledge,4182
2119,Caguas,Puerto Rico,PR,725,Cotton Bluff Bank,9673
2120,Caguas,Puerto Rico,PR,725,Rustic Cape,3651
2121,Caguas,Puerto Rico,PR,725,Little Cider Park,1591
2122,Chicago,USA,IL,60608,Quaking Spring Extension,6784
2123,El Centro,USA,CA,92243,Merry Rabbit Acres,1191
2124,Los Angeles,USA,CA,90018,Quaking Meadow,6304
2125,Los Angeles,USA,CA,90007,Middle Jetty,6051
2126,Brooklyn,USA,NY,11208,Round Timber Wharf,8373
2127,Caguas,Puerto Rico,PR,725,Wishing Harbour,1802
2128,Bakersfield,USA,CA,93306,Hazy Dale,245
2129,Caguas,Puerto Rico,PR,725,Wishing Isle,9854
2130,Caguas,Puerto Rico,PR,725,Emerald Elk Mount,8668
2131,Miami,USA,FL,33161,Silver End,8626
2132,Toms River,USA,NJ,8753,Old Avenue,2089
2133,Caguas,Puerto Rico,PR,725,Broad Dell,6728
2134,Rio Rancho,USA,NM,87124,Dusty Log Edge,6843
2135,Caguas,Puerto Rico,PR,725,Sunny Quail Villas,9684
2136,Fayetteville,USA,NC,28314,Little Acres,4320
2137,Brooklyn,USA,NY,11229,Gentle Anchor Chase,586
2138,Caguas,Puerto Rico,PR,725,Cotton Run,1056
2139,Marietta,USA,GA,30062,Hidden Elk Terrace,9283
2140,Caguas,Puerto Rico,PR,725,Tawny Goose Corners,923
2141,Pompano Beach,USA,FL,33065,Middle Shadow Run,9729
2142,Cypress,USA,CA,90630,Hazy Pathway,5382
2143,Seattle,USA,WA,98115,Gentle Link,2850
2144,Crystal Lake,USA,IL,60014,Fallen Chase ,331
2145,San Sebastian,Puerto Rico,PR,685,Cinder Private,8434
2146,Caguas,Puerto Rico,PR,725,Old Route,4703
2147,Milwaukee,USA,WI,53215,Indian Walk,4569
2148,Bountiful,USA,UT,84010,Cozy Autumn Trace,7441
2149,Los Angeles,USA,CA,90018,Round Grounds,3859
2150,Brooklyn,USA,NY,11219,Rustic Lake Forest,6217
2151,Caguas,Puerto Rico,PR,725,Indian Wagon  Mall ,9795
2152,Saint Louis,USA,MO,63116,Wishing Rabbit Ridge,1729
2153,Seattle,USA,WA,98115,Red Pioneer Port,2954
2154,Caguas,Puerto Rico,PR,725,Little Forest Gardens,2887
2155,Cordova,USA,TN,38018,Cotton Rise Court,8187
2156,Caguas,Puerto Rico,PR,725,Dewy Gate Inlet,9959
2157,Bronx,USA,NY,10453,Thunder Lagoon Vale,5919
2158,Caguas,Puerto Rico,PR,725,Misty Timber End,5406
2159,Dundalk,USA,MD,21222,Pleasant Mountain Acres,4174
2160,Caguas,Puerto Rico,PR,725,Merry Towers,9394
2161,Asheboro,USA,NC,27203,Harvest Promenade,8929
2162,San Antonio,USA,TX,78223,Indian Point ,4554
2163,Pomona,USA,CA,91767,Golden Panda Highlands,9891
2164,Caguas,Puerto Rico,PR,725,Grand River Townline,3488
2165,Caguas,Puerto Rico,PR,725,Silver Brook Square,2137
2166,Caguas,Puerto Rico,PR,725,Burning Horse Centre,9581
2167,Orlando,USA,FL,32825,Silver Fawn Hill,7573
2168,Caguas,Puerto Rico,PR,725,Rustic Valley,2568
2169,Caguas,Puerto Rico,PR,725,Gentle Road ,3403
2170,Caguas,Puerto Rico,PR,725,Blue Rabbit Campus,1356
2171,Highland,USA,CA,92346,Indian Boulevard,5127
2172,Ventura,USA,CA,93003,Noble View Valley,8824
2173,San Diego,USA,CA,92105,Iron Landing,4661
2174,Holland,USA,MI,49423,Foggy Timber Swale,1914
2175,Brooklyn,USA,NY,11229,Middle Cider Crest,9406
2176,Caguas,Puerto Rico,PR,725,Sleepy Route,2905
2177,Caguas,Puerto Rico,PR,725,Gentle Villas,231
2178,Winter Park,USA,FL,32792,Cozy Spring Farms,403
2179,Methuen,USA,MA,1844,Umber Square,4806
2180,Catonsville,USA,MD,21228,Lost Forest,8341
2181,Dorchester Center,USA,MA,2124,Noble Hills Wynd,4720
2182,Waukegan,USA,IL,60085,Wishing Oak Avenue,1187
2183,San Ramon,USA,CA,94583,Silent Deer Chase,2841
2184,Stockbridge,USA,GA,30281,Sunny End,3779
2185,Lawrenceville,USA,GA,30044,Silver Highlands,475
2186,Chicago,USA,IL,60644,Burning Deer Meadow,4566
2187,Caguas,Puerto Rico,PR,725,Shady Embers Villas,8849
2188,Victorville,USA,CA,92392,Thunder Villas,9553
2189,Caguas,Puerto Rico,PR,725,Crystal Alley,5763
2190,El Paso,USA,TX,79936,Pleasant Cloud Maze,6077
2191,Roswell,USA,GA,30075,Merry Way,3235
2192,Pawtucket,USA,RI,2860,Stony Prairie Highway,7851
2193,Caguas,Puerto Rico,PR,725,Tawny Private,4436
2194,Sacramento,USA,CA,95822,Easy Alley,4672
2195,Roswell,USA,GA,30075,Honey Loop,975
2196,Caguas,Puerto Rico,PR,725,Pleasant Pointe,9144
2197,Hialeah,USA,FL,33016,Burning Nook,5712
2198,Caguas,Puerto Rico,PR,725,Fallen Line,1426
2199,Caguas,Puerto Rico,PR,725,High Treasure Village,2659
2200,Caguas,Puerto Rico,PR,725,Misty Carrefour,8547
2201,Richmond,USA,IN,47374,Shady Spring Path,4951
2202,Dearborn,USA,MI,48126,Quiet Downs ,1320
2203,Seattle,USA,WA,98115,Tawny Horse Crescent,4408
2204,Caguas,Puerto Rico,PR,725,Clear Nectar Isle,4114
2205,Caguas,Puerto Rico,PR,725,Dusty Circuit,1389
